Site,Date,LE_pixel (W/m²)_ICOS,ET_pixel (mm/h)_ICOS,Rn (W/m²)_ICOS,Ta (°C)_ICOS,u (m/s)_ICOS,LE_pixel (W/m²)_ERA5,ET_pixel (mm/h)_ERA5,Rn (W/m²)_ERA5,Ta (°C)_ERA5,u (m/s)_ERA5,LE_pixel (W/m²)_ERA5_DS,ET_pixel (mm/h)_ERA5_DS,Rn (W/m²),Ta (°C)_ERA5_DS,u (m/s)
Borgo Cioffi,2022-01-19,,,,,,55.05,0.0809,245.2,9.66,1.58,9.65,0.0142,245.2,8.41,1.58
Borgo Cioffi,2022-02-12,,,,,,50.94,0.0748,246.0,12.3,2.76,7.23,0.0106,246.0,11.04,2.76
Borgo Cioffi,2022-02-20,,,,,,127.78,0.1878,286.9,15.09,0.85,86.94,0.1278,286.9,13.98,0.85
Borgo Cioffi,2022-03-16,,,,,,87.22,0.1282,449.7,12.49,0.77,77.77,0.1143,449.7,12.23,0.77
Borgo Cioffi,2022-03-24,,,,,,206.14,0.3029,485.4,16.27,0.8,159.65,0.2346,485.4,15.05,0.8
Borgo Cioffi,2022-04-09,,,,,,,,353.2,14.61,3.38,,,353.2,14.06,3.38
Borgo Cioffi,2022-04-25,,,,,,,,347.5,16.13,2.42,,,347.5,14.93,2.42
Borgo Cioffi,2022-05-03,,,,,,0.0,0.0,486.8,17.21,0.99,0.0,0.0,486.8,15.99,0.99
Borgo Cioffi,2022-05-11,,,,,,65.23,0.0958,553.8,21.52,1.34,34.8,0.0511,553.8,20.2,1.34
Borgo Cioffi,2022-05-19,,,,,,170.85,0.251,617.6,22.46,2.88,123.56,0.1816,617.6,21.17,2.88
Borgo Cioffi,2022-05-27,,,,,,370.01,0.5437,499.9,30.38,1.84,295.5,0.4342,499.9,28.74,1.84
Borgo Cioffi,2022-06-12,,,,,,8.32,0.0122,623.2,26.78,2.43,0.0,0.0,623.2,25.15,2.43
Borgo Cioffi,2022-06-20,,,,,,156.29,0.2296,610.2,26.74,1.7,117.66,0.1729,610.2,25.72,1.7
Borgo Cioffi,2022-06-28,,,,,,204.45,0.3004,574.7,35.93,0.65,173.74,0.2553,574.7,35.09,0.65
Borgo Cioffi,2022-07-06,,,,,,152.68,0.2244,545.8,31.7,1.37,123.05,0.1808,545.8,30.52,1.37
Borgo Cioffi,2022-07-14,,,,,,252.67,0.3713,571.9,29.29,0.58,202.4,0.2974,571.9,27.93,0.58
Borgo Cioffi,2022-07-30,,,,,,230.8,0.3391,568.2,29.64,1.92,210.77,0.3097,568.2,29.12,1.92
Borgo Cioffi,2022-08-07,,,,,,153.87,0.2261,529.8,32.78,1.23,125.72,0.1847,529.8,31.64,1.23
Borgo Cioffi,2022-10-02,,,,,,0.0,0.0,444.8,20.44,1.29,0.0,0.0,444.8,19.87,1.29
Borgo Cioffi,2022-10-18,,,,,,163.5,0.2402,386.0,22.88,0.11,110.41,0.1622,386.0,21.49,0.11
Borgo Cioffi,2022-10-26,,,,,,154.77,0.2274,352.3,22.39,0.52,133.39,0.196,352.3,21.65,0.52
Borgo Cioffi,2022-11-03,,,,,,0.0,0.0,297.7,18.58,0.98,0.0,0.0,297.7,17.86,0.98
Borgo Cioffi,2022-11-11,,,,,,25.86,0.038,260.4,18.03,2.76,0.0,0.0,260.4,16.81,2.76
Borgo Cioffi,2022-12-05,,,,,,,,199.2,16.34,1.21,,,199.2,14.67,1.21
Borgo Cioffi,2022-12-21,,,,,,0.0,0.0,168.4,10.84,0.84,0.0,0.0,168.4,10.38,0.84
Borgo Cioffi,2022-12-29,,,,,,64.88,0.0953,184.7,13.08,1.07,26.02,0.0382,184.7,12.02,1.07
Borgo Cioffi,2023-01-06,,,,,,33.84,0.0497,206.0,11.73,1.23,2.26,0.0033,206.0,10.77,1.23
Borgo Cioffi,2023-01-14,,,,,,3.26,0.0048,177.6,11.82,1.42,0.0,0.0,177.6,10.39,1.42
Borgo Cioffi,2023-01-30,,,,,,63.02,0.0926,263.6,8.72,0.18,19.57,0.0288,263.6,7.5,0.18
Borgo Cioffi,2023-02-07,,,,,,111.62,0.164,291.8,5.4,4.06,33.5,0.0492,291.8,3.21,4.06
Borgo Cioffi,2023-02-15,,,,,,144.66,0.2126,324.0,13.68,0.57,107.18,0.1575,324.0,12.62,0.57
Borgo Cioffi,2023-04-20,,,,,,142.84,0.2099,573.1,16.95,0.38,103.81,0.1525,573.1,15.67,0.38
Borgo Cioffi,2023-04-28,,,,,,75.55,0.111,559.2,19.29,1.62,29.77,0.0437,559.2,17.89,1.62
Borgo Cioffi,2023-05-06,,,,,,45.99,0.0676,528.2,19.53,1.55,24.28,0.0357,528.2,18.62,1.55
Borgo Cioffi,2023-05-22,309.75,0.4551,663.5,23.85,2.0,192.46,0.2828,575.2,22.32,1.13,148.64,0.2184,575.2,20.64,1.13
Borgo Cioffi,2023-05-30,0.0,0.0,640.8,25.13,2.0,0.0,0.0,528.3,23.97,0.77,0.0,0.0,528.3,22.21,0.77
Borgo Cioffi,2023-06-07,,,,,,44.28,0.0651,586.0,23.62,1.05,15.63,0.023,586.0,22.26,1.05
Borgo Cioffi,2023-06-23,80.87,0.1188,438.2,28.54,2.0,152.71,0.2244,585.4,28.89,1.22,155.34,0.2283,585.4,29.01,1.22
Borgo Cioffi,2023-07-09,377.34,0.5545,625.0,30.78,2.0,418.22,0.6145,596.6,32.33,0.61,353.07,0.5188,596.6,30.84,0.61
Borgo Cioffi,2023-07-17,219.24,0.3221,597.3,31.7,2.0,333.0,0.4893,575.9,34.71,1.43,310.59,0.4564,575.9,34.18,1.43
Borgo Cioffi,2023-07-25,502.11,0.7378,530.0,33.55,2.0,548.28,0.8056,579.0,34.06,3.7,548.28,0.8056,579.0,33.72,3.7
Borgo Cioffi,2023-08-10,243.04,0.3571,575.9,27.02,2.0,190.86,0.2804,561.5,26.55,1.54,142.69,0.2097,561.5,25.35,1.54
Borgo Cioffi,2023-08-18,224.43,0.3298,567.9,28.37,2.0,277.8,0.4082,540.5,30.14,1.55,231.2,0.3397,540.5,29.07,1.55
Borgo Cioffi,2023-08-26,366.69,0.5388,545.0,29.67,2.0,373.52,0.5489,517.4,30.41,1.67,346.08,0.5085,517.4,29.81,1.67
Borgo Cioffi,2023-09-03,290.53,0.4269,506.5,29.53,2.0,223.49,0.3284,520.0,28.74,0.42,161.53,0.2373,520.0,27.21,0.42
Borgo Cioffi,2023-09-11,0.0,0.0,429.3,28.67,2.0,0.0,0.0,491.5,29.28,0.2,0.0,0.0,491.5,28.18,0.2
Borgo Cioffi,2023-09-27,212.68,0.3125,411.5,27.18,2.0,152.64,0.2243,464.6,25.9,2.03,116.8,0.1716,464.6,24.58,2.03
Borgo Cioffi,2023-10-05,0.0,0.0,394.1,24.94,2.0,0.0,0.0,401.9,25.09,1.35,0.0,0.0,401.9,23.81,1.35
Borgo Cioffi,2023-10-13,,,,,,0.0,0.0,394.7,23.57,0.62,0.0,0.0,394.7,22.98,0.62
Borgo Cioffi,2023-10-29,123.91,0.1821,353.7,21.46,2.0,54.68,0.0804,354.4,20.22,1.37,32.08,0.0471,354.4,19.29,1.37
Borgo Cioffi,2023-11-06,116.47,0.1711,95.3,19.77,2.0,262.52,0.3857,254.6,20.3,3.01,201.26,0.2957,254.6,18.04,3.01
Borgo Cioffi,2023-11-22,73.01,0.1073,216.1,16.34,2.0,0.0,0.0,154.6,15.45,1.45,0.0,0.0,154.6,13.92,1.45
Borgo Cioffi,2023-12-08,180.26,0.2649,190.7,10.07,2.0,154.73,0.2274,204.1,11.65,1.13,136.95,0.2012,204.1,9.82,1.13
Borgo Cioffi,2023-12-16,235.6,0.3462,261.0,11.82,2.0,33.93,0.0499,184.1,9.65,5.28,0.0,0.0,184.1,7.97,5.28
Estrees-Mons,2022-01-09,,,123.5,4.41,3.63,,,97.6,5.85,3.22,,,97.6,5.12,3.22
Estrees-Mons,2022-01-25,,,150.9,0.3,0.93,,,145.0,2.23,0.6,,,145.0,0.62,0.6
Estrees-Mons,2022-02-11,100.87,0.1482,243.0,3.52,1.96,115.7,0.17,212.1,5.7,2.12,96.09,0.1412,212.1,4.47,2.12
Estrees-Mons,2022-02-26,131.41,0.1931,322.5,4.34,4.27,192.09,0.2823,287.0,6.72,2.8,167.74,0.2465,287.0,5.28,2.8
Estrees-Mons,2022-03-06,125.71,0.1847,315.1,4.28,3.13,105.87,0.1556,264.1,5.36,2.37,89.68,0.1318,264.1,4.2,2.37
Estrees-Mons,2022-03-22,58.95,0.0866,359.5,13.34,2.78,106.02,0.1558,388.9,14.93,1.8,84.91,0.1248,388.9,13.38,1.8
Estrees-Mons,2022-03-23,43.7,0.0642,365.6,13.29,1.42,67.17,0.0987,393.5,14.44,1.01,43.14,0.0634,393.5,12.53,1.01
Estrees-Mons,2022-04-15,439.88,0.6464,493.3,16.0,2.81,375.92,0.5524,439.2,16.87,1.98,375.92,0.5524,439.2,16.09,1.98
Estrees-Mons,2022-04-24,185.11,0.272,518.4,16.37,3.42,175.81,0.2583,496.2,15.39,3.52,140.49,0.2064,496.2,13.57,3.52
Estrees-Mons,2022-05-09,76.49,0.1124,534.8,19.08,0.55,104.78,0.154,523.5,20.67,0.54,72.61,0.1067,523.5,19.4,0.54
Estrees-Mons,2022-05-17,0.0,0.0,550.1,24.19,2.2,0.0,0.0,523.1,24.77,1.0,0.0,0.0,523.1,23.89,1.0
Estrees-Mons,2022-05-18,141.77,0.2083,550.0,20.82,1.31,209.78,0.3083,529.3,22.9,1.26,163.38,0.2401,529.3,21.47,1.26
Estrees-Mons,2022-06-02,87.63,0.1288,635.0,18.14,2.26,13.1,0.0193,555.0,17.87,2.32,0.0,0.0,555.0,16.98,2.32
Estrees-Mons,2022-06-11,0.0,0.0,504.2,19.21,0.88,0.0,0.0,435.7,18.32,0.85,0.0,0.0,435.7,17.05,0.85
Estrees-Mons,2022-06-18,281.11,0.4131,538.7,29.93,1.61,270.52,0.3975,530.6,30.03,2.54,227.35,0.3341,530.6,28.55,2.54
Estrees-Mons,2022-07-04,222.17,0.3265,636.6,20.69,1.64,138.04,0.2028,510.5,20.96,1.57,112.55,0.1654,510.5,19.72,1.57
Estrees-Mons,2022-07-05,134.47,0.1976,568.5,19.92,1.36,105.18,0.1546,458.5,21.04,2.48,94.15,0.1383,458.5,20.48,2.48
Estrees-Mons,2022-07-12,333.69,0.4903,496.3,26.13,0.7,346.13,0.5086,529.8,26.31,0.54,320.85,0.4715,529.8,25.1,0.54
Estrees-Mons,2022-07-13,147.95,0.2174,522.0,31.07,2.29,103.19,0.1516,540.0,29.06,1.88,95.42,0.1402,540.0,28.54,1.88
Estrees-Mons,2022-07-29,11.51,0.0169,459.6,24.22,1.52,4.4,0.0065,511.1,24.0,1.61,0.0,0.0,511.1,23.16,1.61
Estrees-Mons,2022-08-05,79.81,0.1173,437.5,21.58,3.67,76.75,0.1128,382.8,21.2,3.14,64.55,0.0949,382.8,20.19,3.14
Estrees-Mons,2022-08-06,0.0,0.0,500.9,20.45,4.78,67.69,0.0995,518.6,21.01,3.39,57.45,0.0844,518.6,20.11,3.39
Estrees-Mons,2022-08-29,0.0,0.0,421.7,22.02,6.27,4.42,0.0065,397.2,21.62,4.0,0.0,0.0,397.2,20.35,4.0
Estrees-Mons,2022-08-30,13.8,0.0203,416.5,22.62,2.17,0.0,0.0,362.2,24.59,2.03,0.0,0.0,362.2,23.55,2.03
Estrees-Mons,2022-09-30,148.79,0.2186,372.3,13.99,2.86,171.42,0.2519,352.4,15.2,2.41,153.89,0.2261,352.4,14.08,2.41
Estrees-Mons,2022-10-08,153.36,0.2253,362.5,14.08,3.14,132.3,0.1944,289.9,14.72,1.9,122.95,0.1807,289.9,14.18,1.9
Estrees-Mons,2022-10-24,0.0,0.0,200.4,16.47,6.94,47.16,0.0693,219.1,17.29,5.16,28.2,0.0414,219.1,16.77,5.16
Estrees-Mons,2022-11-01,28.59,0.042,224.1,13.86,5.97,101.04,0.1485,229.3,14.57,5.42,51.92,0.0763,229.3,13.5,5.42
Estrees-Mons,2022-11-02,112.24,0.1649,210.3,12.37,3.9,135.74,0.1995,212.7,12.93,3.7,99.03,0.1455,212.7,11.98,3.7
Estrees-Mons,2022-11-10,132.54,0.1948,200.0,11.12,3.61,154.57,0.2271,196.8,12.92,3.2,126.52,0.1859,196.8,11.45,3.2
Estrees-Mons,2022-11-25,35.22,0.0518,138.7,8.79,2.72,38.88,0.0571,130.0,9.79,3.59,7.18,0.0105,130.0,8.78,3.59
Estrees-Mons,2022-11-26,3.55,0.0052,143.0,6.45,2.7,13.15,0.0193,116.8,7.79,2.67,0.0,0.0,116.8,6.71,2.67
Estrees-Mons,2023-02-14,49.15,0.0722,217.6,5.02,2.49,144.52,0.2124,233.8,8.29,1.27,66.2,0.0973,233.8,5.84,1.27
Estrees-Mons,2023-03-01,3.39,0.005,296.0,2.12,5.33,129.35,0.1901,278.9,3.41,3.56,88.11,0.1295,278.9,2.1,3.56
Estrees-Mons,2023-03-18,57.63,0.0847,393.4,13.14,4.44,70.03,0.1029,325.6,13.74,5.05,33.15,0.0487,325.6,12.7,5.05
Estrees-Mons,2023-04-03,61.4,0.0902,480.3,7.5,4.55,179.34,0.2635,433.0,8.31,3.61,147.18,0.2163,433.0,7.26,3.61
Estrees-Mons,2023-04-18,102.74,0.151,489.2,11.38,4.4,211.14,0.3103,412.7,12.85,3.53,177.59,0.261,412.7,11.76,3.53
Estrees-Mons,2023-05-04,185.66,0.2728,437.7,17.83,5.04,357.47,0.5253,482.2,19.49,3.42,314.59,0.4622,482.2,18.21,3.42
Estrees-Mons,2023-05-05,,,253.0,13.26,2.5,,,424.2,16.67,3.0,,,424.2,15.65,3.0
Estrees-Mons,2023-05-13,273.22,0.4015,578.3,17.15,2.87,324.51,0.4768,521.6,18.5,3.32,280.52,0.4122,521.6,17.24,3.32
Estrees-Mons,2023-05-20,194.98,0.2865,582.3,17.5,4.75,322.66,0.4741,544.6,17.53,4.16,289.78,0.4258,544.6,16.73,4.16
Estrees-Mons,2023-05-28,15.35,0.0226,561.9,21.36,4.43,167.92,0.2467,554.1,21.35,3.08,144.15,0.2118,554.1,20.34,3.08
Estrees-Mons,2023-05-29,0.0,0.0,570.1,17.6,5.46,117.5,0.1727,558.6,17.93,4.67,87.87,0.1291,558.6,16.9,4.67
Estrees-Mons,2023-06-05,54.32,0.0798,562.5,19.55,3.19,132.53,0.1947,559.5,20.63,3.54,104.29,0.1532,559.5,19.52,3.54
Estrees-Mons,2023-06-06,0.0,0.0,565.9,18.68,3.26,0.0,0.0,416.4,19.37,3.08,0.0,0.0,416.4,18.13,3.08
Estrees-Mons,2023-06-13,181.55,0.2668,597.7,25.12,2.98,223.42,0.3283,511.1,26.35,2.27,199.57,0.2932,511.1,25.65,2.27
Estrees-Mons,2023-06-14,143.64,0.2111,584.7,24.48,1.18,140.49,0.2064,509.6,25.58,1.89,113.24,0.1664,509.6,24.75,1.89
Estrees-Mons,2023-06-21,,,567.9,21.54,1.26,,,527.3,22.7,1.15,,,527.3,21.81,1.15
Estrees-Mons,2023-07-15,40.78,0.0599,430.1,22.54,5.11,0.0,0.0,271.9,22.44,4.8,0.0,0.0,271.9,22.0,4.8
Estrees-Mons,2023-08-09,151.34,0.2224,553.0,20.17,2.78,38.25,0.0562,369.3,19.94,2.15,12.73,0.0187,369.3,19.13,2.15
Estrees-Mons,2023-08-25,,,153.6,19.25,1.93,,,199.7,20.84,2.57,,,199.7,20.21,2.57
Estrees-Mons,2023-09-02,241.68,0.3551,505.5,23.13,1.74,180.6,0.2654,404.1,23.14,1.03,164.21,0.2413,404.1,22.04,1.03
Estrees-Mons,2023-09-09,135.75,0.1995,439.4,30.03,2.98,124.98,0.1836,437.9,28.99,1.28,106.8,0.1569,437.9,27.67,1.28
Estrees-Mons,2023-09-10,143.63,0.211,446.6,29.73,3.58,146.94,0.2159,429.2,28.95,2.52,130.45,0.1917,429.2,27.82,2.52
Estrees-Mons,2023-09-18,54.77,0.0805,389.4,20.24,5.8,182.37,0.268,400.0,21.91,4.53,142.16,0.2089,400.0,20.29,4.53
Estrees-Mons,2023-09-25,128.99,0.1895,343.1,17.39,1.83,195.47,0.2872,372.7,19.14,1.76,165.22,0.2428,372.7,17.75,1.76
Estrees-Mons,2023-09-26,100.14,0.1472,294.6,18.22,2.54,202.71,0.2979,338.4,20.69,2.05,166.66,0.2449,338.4,19.14,2.05
Estrees-Mons,2023-10-03,184.65,0.2713,279.6,17.62,6.52,44.5,0.0654,126.2,16.6,4.43,45.1,0.0663,126.2,16.63,4.43
Estrees-Mons,2023-12-31,112.14,0.1648,98.6,8.54,7.31,71.61,0.1052,86.4,8.41,5.07,71.61,0.1052,86.4,7.98,5.07
Gebesee,2022-01-14,,,84.5,1.99,4.88,,,73.4,2.69,2.55,,,73.4,2.54,2.55
Gebesee,2022-02-07,0.0,0.0,71.6,4.25,7.32,29.61,0.0435,115.2,3.56,4.72,26.07,0.0383,115.2,3.45,4.72
Gebesee,2022-02-23,140.16,0.2059,222.7,7.77,5.97,108.19,0.159,221.7,6.52,3.65,102.64,0.1508,221.7,6.36,3.65
Gebesee,2022-03-11,0.0,0.0,239.9,5.65,6.25,36.56,0.0537,312.8,4.43,2.97,32.8,0.0482,312.8,4.27,2.97
Gebesee,2022-03-19,,,246.2,7.47,5.13,,,301.6,6.05,3.08,,,301.6,5.99,3.08
Gebesee,2022-04-28,106.9,0.1571,367.7,14.88,1.57,32.05,0.0471,395.6,13.68,0.45,28.09,0.0413,395.6,13.55,0.45
Gebesee,2022-05-06,257.41,0.3782,451.7,16.8,1.88,218.14,0.3205,435.6,16.34,2.05,211.98,0.3115,435.6,16.19,2.05
Gebesee,2022-05-14,178.41,0.2622,445.6,18.01,3.45,243.45,0.3577,472.0,18.11,2.6,235.73,0.3464,472.0,17.91,2.6
Gebesee,2022-05-22,256.59,0.377,433.3,17.72,2.85,203.66,0.2993,360.2,17.32,1.57,198.9,0.2923,360.2,17.2,1.57
Gebesee,2022-06-15,311.06,0.4571,488.7,23.5,1.13,362.69,0.5329,519.8,23.96,0.38,352.1,0.5174,519.8,23.7,0.38
Gebesee,2022-07-17,,,,,,176.31,0.2591,512.7,20.68,0.77,173.4,0.2548,512.7,20.48,0.77
Gebesee,2022-07-25,295.48,0.4342,391.4,33.46,5.19,312.91,0.4598,501.4,31.93,3.4,308.31,0.453,501.4,31.7,3.4
Gebesee,2022-08-02,37.74,0.0555,315.5,23.99,1.79,31.26,0.0459,432.1,23.5,0.7,28.69,0.0422,432.1,23.23,0.7
Gebesee,2022-08-10,0.0,0.0,290.7,25.5,4.25,67.42,0.0991,467.3,25.23,2.33,65.52,0.0963,467.3,25.05,2.33
Gebesee,2022-09-03,0.0,0.0,237.2,22.51,5.09,53.64,0.0788,410.0,20.25,2.89,51.33,0.0754,410.0,20.04,2.89
Gebesee,2022-10-05,59.27,0.0871,265.2,17.2,6.67,73.7,0.1083,254.5,15.92,3.38,70.87,0.1041,254.5,15.77,3.38
Gebesee,2022-11-06,89.7,0.1318,198.7,9.93,1.17,6.2,0.0091,171.3,8.6,2.77,4.86,0.0071,171.3,8.52,2.77
Gebesee,2023-04-07,,,,,,54.9,0.0807,437.5,9.64,2.08,52.08,0.0765,437.5,9.44,2.08
Gebesee,2023-05-09,,,,,,19.03,0.028,503.9,17.6,2.2,15.46,0.0227,503.9,17.36,2.2
Gebesee,2023-05-25,,,,,,,,419.5,14.91,1.09,,,419.5,14.84,1.09
Gebesee,2023-06-02,,,,,,0.0,0.0,295.8,13.72,1.68,0.0,0.0,295.8,13.8,1.68
Gebesee,2023-06-10,,,,,,59.38,0.0873,519.4,23.43,2.7,56.77,0.0834,519.4,23.28,2.7
Gebesee,2023-06-18,,,,,,173.2,0.2545,476.3,24.78,0.68,167.75,0.2465,476.3,24.57,0.68
Gebesee,2023-06-26,,,,,,463.11,0.6805,522.5,28.53,2.68,458.35,0.6735,522.5,28.35,2.68
Gebesee,2023-07-04,,,,,,194.43,0.2857,434.2,21.24,4.48,179.14,0.2632,434.2,20.86,4.48
Gebesee,2023-07-12,,,,,,181.34,0.2665,434.4,25.18,3.43,170.33,0.2503,434.4,24.89,3.43
Gebesee,2023-08-21,,,,,,146.05,0.2146,432.4,25.69,1.16,137.49,0.202,432.4,25.39,1.16
Gebesee,2023-09-06,,,,,,157.33,0.2312,403.3,24.35,1.3,155.15,0.228,403.3,24.28,1.3
Gebesee,2023-09-14,,,,,,56.34,0.0828,363.6,16.52,0.43,54.37,0.0799,363.6,16.45,0.43
Gebesee,2023-09-30,,,,,,0.0,0.0,281.7,16.1,1.4,0.0,0.0,281.7,16.02,1.4
Grignon,2022-01-01,144.71,0.2126,131.6,11.46,2.62,100.07,0.147,110.3,11.41,2.3,100.07,0.147,110.3,9.89,2.3
Grignon,2022-01-24,,,204.0,2.98,2.27,,,167.8,3.75,1.31,,,167.8,2.05,1.31
Grignon,2022-02-09,166.14,0.2441,276.9,6.51,1.06,0.0,0.0,161.7,5.32,0.56,0.0,0.0,161.7,4.03,0.56
Grignon,2022-02-18,,,85.4,11.67,6.69,,,,,,,,,,
Grignon,2022-02-25,243.8,0.3582,324.6,7.5,4.56,237.35,0.3488,291.7,8.24,3.83,175.34,0.2576,291.7,6.84,3.83
Grignon,2022-02-26,206.35,0.3032,300.7,6.34,4.49,247.46,0.3636,307.4,7.08,2.59,175.75,0.2582,307.4,5.45,2.59
Grignon,2022-03-06,151.3,0.2223,352.9,4.6,2.94,124.27,0.1826,286.3,6.0,2.24,63.4,0.0932,286.3,4.37,2.24
Grignon,2022-03-21,372.73,0.5477,472.4,14.63,2.18,289.93,0.426,396.0,14.55,1.8,225.23,0.3309,396.0,13.06,1.8
Grignon,2022-03-22,411.28,0.6043,435.8,13.76,3.45,390.95,0.5745,414.1,14.22,2.4,343.52,0.5048,414.1,12.8,2.4
Grignon,2022-04-14,475.63,0.6989,636.2,17.38,1.21,198.57,0.2918,355.4,16.99,0.89,155.79,0.2289,355.4,16.07,0.89
Grignon,2022-04-15,560.92,0.8242,598.6,16.86,1.93,504.18,0.7408,508.2,17.78,1.47,485.78,0.7138,508.2,16.8,1.47
Grignon,2022-04-22,335.88,0.4935,630.1,15.78,5.5,409.56,0.6018,529.8,16.18,3.52,346.58,0.5093,529.8,14.87,3.52
Grignon,2022-04-30,217.75,0.32,578.5,13.15,5.03,174.42,0.2563,405.8,12.92,2.46,123.3,0.1812,405.8,11.74,2.46
Grignon,2022-05-09,429.17,0.6306,598.8,20.08,1.05,401.32,0.5897,554.2,20.62,0.24,341.33,0.5016,554.2,19.3,0.24
Grignon,2022-05-16,347.44,0.5105,569.2,20.65,2.89,282.44,0.415,466.0,21.05,2.83,238.36,0.3502,466.0,20.09,2.83
Grignon,2022-05-17,280.23,0.4118,606.5,24.88,2.4,258.07,0.3792,552.2,25.63,1.63,206.73,0.3038,552.2,24.41,1.63
Grignon,2022-05-25,,,562.2,16.42,4.32,,,550.0,17.09,3.39,,,550.0,15.89,3.39
Grignon,2022-06-01,,,497.2,17.81,3.21,,,544.2,17.64,1.72,,,544.2,16.85,1.72
Grignon,2022-06-18,467.28,0.6866,532.9,32.28,3.02,429.39,0.6309,577.6,31.45,2.28,393.19,0.5777,577.6,30.07,2.28
Grignon,2022-07-04,267.72,0.3934,538.1,20.69,1.42,191.12,0.2808,508.0,20.79,1.16,172.98,0.2542,508.0,19.7,1.16
Grignon,2022-07-11,0.0,0.0,498.2,25.37,4.51,102.33,0.1504,579.1,25.61,2.67,86.11,0.1265,579.1,24.36,2.67
Grignon,2022-07-12,113.22,0.1664,462.8,27.73,2.12,37.06,0.0545,491.6,27.66,0.94,25.25,0.0371,491.6,26.61,0.94
Grignon,2022-07-27,,,361.2,21.14,2.97,,,414.0,21.59,2.12,,,414.0,20.62,2.12
Grignon,2022-08-04,,,447.2,23.01,3.66,,,532.4,25.48,2.38,,,532.4,23.38,2.38
Grignon,2022-08-12,0.0,0.0,445.2,30.56,5.59,71.61,0.1052,524.6,30.28,2.75,50.71,0.0745,524.6,28.57,2.75
Grignon,2022-08-29,0.0,0.0,388.8,22.96,4.43,27.35,0.0402,473.5,24.48,2.7,13.58,0.0199,473.5,23.16,2.7
Grignon,2022-09-21,,,360.9,16.41,4.19,,,407.4,16.88,2.27,,,407.4,15.54,2.27
Grignon,2022-09-30,187.61,0.2757,408.0,13.86,2.09,180.86,0.2658,380.6,15.76,1.74,156.44,0.2299,380.6,14.24,1.74
Grignon,2022-10-07,133.3,0.1959,333.0,16.79,1.76,89.93,0.1321,350.3,17.2,1.16,73.46,0.1079,350.3,15.94,1.16
Grignon,2022-10-31,111.72,0.1642,265.3,17.3,4.56,100.14,0.1471,256.3,16.82,1.92,67.88,0.0997,256.3,15.11,1.92
Grignon,2022-11-01,170.61,0.2507,260.0,14.08,6.12,200.58,0.2947,244.8,15.19,4.71,155.7,0.2288,244.8,13.86,4.71
Grignon,2022-11-24,186.89,0.2746,149.3,10.19,4.75,131.77,0.1936,158.3,10.84,3.05,100.21,0.1472,158.3,9.18,3.05
Grignon,2022-11-25,66.86,0.0982,120.7,8.89,3.57,133.55,0.1962,158.6,10.33,3.28,85.52,0.1257,158.6,8.79,3.28
Grignon,2022-12-27,138.13,0.203,125.1,6.48,1.95,79.02,0.1161,104.2,6.63,2.34,13.36,0.0196,104.2,5.14,2.34
Grignon,2023-01-11,166.07,0.244,131.7,9.88,5.73,86.83,0.1276,108.7,9.58,3.65,76.65,0.1126,108.7,8.88,3.65
Grignon,2023-02-13,60.93,0.0895,228.0,5.04,0.71,0.0,0.0,205.5,5.37,0.9,0.0,0.0,205.5,3.38,0.9
Grignon,2023-04-09,324.55,0.4769,417.1,14.66,2.7,306.95,0.451,490.9,14.41,1.4,231.84,0.3407,490.9,12.69,1.4
Grignon,2023-04-18,,,474.4,11.01,4.76,,,401.8,13.06,3.26,,,401.8,12.37,3.26
Grignon,2023-05-03,314.46,0.4621,555.8,16.2,3.86,343.04,0.5041,557.7,16.36,2.97,276.18,0.4058,557.7,14.85,2.97
