Site,Date,Source_Meteo,Ta (°C),u (m/s),Rn (W/m²),T_s_max (°C),T_c_max (°C),LST_pixel (°C),Ts_pixel (°C),Tc_pixel (°C),fc_pixel,LE_pixel (W/m²),ET_pixel (mm/h),EF_pixel,ET_moy_carte (mm/h),LE_moy_carte (W/m²),LST_ICOS (°C),LE_pure_ICOS (W/m²),ET_pure_ICOS (mm/h)
Gebesee,2022-02-07,ICOS,4.25,7.32,71.6,5.4,4.68,5.130000114440918,5.59,4.87,0.6370000243186951,0.0,0.0,0.0,0.0092,6.2,3.3283997,60.22276052236556,0.08849058689000654
Gebesee,2022-02-23,ICOS,7.77,5.97,222.7,12.26,9.65,8.970000267028809,9.68,8.57,0.6370000243186951,136.64,0.2008,0.536,0.1466,99.8,9.751648,56.03177848224586,0.08233240919840208
Gebesee,2022-03-11,ICOS,5.65,6.25,239.9,11.14,7.88,11.34000015258789,13.51,10.25,0.6660000085830688,0.0,0.0,0.0,0.0041,2.8,14.483795,0.0,0.0
Gebesee,2022-04-28,ICOS,14.88,1.57,367.7,31.23,23.38,22.40999984741211,27.51,21.45,0.8420000076293945,85.94,0.1263,0.224,0.0681,46.3,28.754395,0.0,0.0
Gebesee,2022-05-06,ICOS,16.8,1.88,451.7,32.85,25.07,20.84000015258789,24.09,20.55,0.9179999828338624,236.18,0.347,0.545,0.2131,145.0,23.852448,87.06931288521292,0.1279385821986802
Gebesee,2022-05-14,ICOS,18.01,3.45,445.6,31.1,24.04,22.71999931335449,26.85,22.08,0.8659999966621399,144.1,0.2117,0.316,0.0689,46.9,27.693787,0.0,0.0
Gebesee,2022-05-22,ICOS,17.72,2.85,433.3,30.75,23.77,20.420000076293945,22.88,20.12,0.8889999985694885,235.04,0.3454,0.585,0.1951,132.8,20.764435,220.01824717781406,0.32329211830209414
Gebesee,2022-06-15,ICOS,23.5,1.13,488.7,41.21,32.28,26.57999992370605,29.05,26.25,0.8830000162124634,301.35,0.4428,0.673,0.4371,297.5,27.314789,273.50658941958517,0.4018872334328598
Gebesee,2022-07-25,ICOS,33.46,5.19,391.4,42.01,37.29,33.939998626708984,33.98,33.69,0.1389999985694885,293.82,0.4317,0.745,0.1595,108.5,39.492157,66.63316352909234,0.09790995457336017
Gebesee,2022-08-02,ICOS,23.99,1.79,315.5,39.01,32.0,38.52000045776367,39.04,32.03,0.0740000009536743,0.0,0.0,0.0,0.0372,25.3,39.60254,0.0,0.0
Gebesee,2022-08-10,ICOS,25.5,4.25,290.7,35.13,30.01,38.59999847412109,39.04,33.91,0.0850000008940696,0.0,0.0,0.0,0.0029,2.0,40.074738,0.0,0.0
Gebesee,2022-09-03,ICOS,22.51,5.09,237.2,29.58,25.63,31.81999969482422,32.19,28.24,0.0930000022053718,0.0,0.0,0.0,0.016,10.9,33.49997,0.0,0.0
Gebesee,2022-10-05,ICOS,17.2,6.67,265.2,22.05,19.38,20.290000915527344,20.87,18.85,0.2899999916553497,52.84,0.0776,0.208,0.0581,39.6,20.709564,28.064775194586367,0.0412380370206167
Gebesee,2022-11-06,ICOS,9.93,1.17,198.7,20.31,14.28,13.579999923706056,14.97,12.04,0.4740000069141388,89.7,0.1318,0.444,0.1647,112.1,12.900513,97.45890125385496,0.14320491612811342
Selhausen,2022-01-28,ICOS,5.96,2.45,230.7,11.69,9.67,7.0,7.07,6.68,0.1809999942779541,141.43,0.2078,0.689,0.2353,160.1,6.6258545,148.10607895672243,0.217625258875184
Selhausen,2022-02-28,ICOS,6.26,4.39,388.0,15.3,10.34,6.519999980926514,6.54,6.39,0.1030000001192092,281.13,0.4131,0.716,0.3172,215.8,6.164917,276.37046001225707,0.40609536981392874
Selhausen,2022-03-08,ICOS,6.48,6.55,385.6,13.58,9.65,7.690000057220459,7.73,7.04,0.0590000003576278,226.45,0.3327,0.584,0.2837,193.1,7.4618835,231.54147318321378,0.34022420549370186
Selhausen,2022-04-17,ICOS,14.19,5.36,555.9,26.22,19.44,21.299999237060547,21.61,17.43,0.0740000009536743,140.96,0.2071,0.328,0.1742,118.5,18.24585,253.8883749308078,0.3730604692860849
Selhausen,2022-04-18,ICOS,15.96,3.68,552.7,30.37,23.0,24.11000061035156,24.38,20.07,0.0610000006854534,146.91,0.2159,0.364,0.2686,182.8,20.996704,247.7177493346703,0.3639934275938012
Selhausen,2022-05-03,ICOS,16.1,2.93,533.2,31.59,23.77,29.770000457763672,30.34,23.16,0.0799999982118606,27.81,0.0409,0.063,0.2512,171.0,24.74112,157.6484887814994,0.23164675902587667
Selhausen,2022-05-11,ICOS,23.36,3.52,593.2,39.04,30.8,38.5,38.98,30.77,0.0579999983310699,1.52,0.0022,0.003,0.2476,168.5,32.130188,175.77795492935186,0.258285974590068
Selhausen,2022-05-12,ICOS,18.8,2.92,584.6,35.6,26.83,32.150001525878906,32.39,25.29,0.0340000018477439,69.86,0.1027,0.156,0.4656,316.9,28.97055,155.662330404323,0.22872832222676032
Selhausen,2022-06-04,ICOS,20.94,2.01,573.8,39.24,30.59,27.309999465942383,28.28,24.81,0.277999997138977,246.63,0.3624,0.526,0.4164,283.4,28.08966,239.51698849424508,0.35194333003236017
Selhausen,2022-06-12,ICOS,21.36,1.84,675.7,42.02,32.64,27.959999084472656,30.97,26.61,0.6890000104904175,295.22,0.4338,0.508,0.403,274.2,26.69397,361.38625984716583,0.5310165450815498
Selhausen,2022-06-28,ICOS,22.16,1.98,652.1,43.06,33.02,27.82999992370605,32.06,27.3,0.8899999856948853,290.33,0.4266,0.52,0.3659,249.0,26.262878,392.9155769170438,0.5773453375107582
Selhausen,2022-07-23,ICOS,21.95,1.57,610.7,42.5,32.82,27.3700008392334,32.0,27.27,0.977999985218048,268.01,0.3938,0.508,0.2242,152.6,25.077576,413.55109377107425,0.6076669132962724
Selhausen,2022-07-30,ICOS,21.99,2.06,594.3,40.11,32.19,29.700000762939453,35.49,29.59,0.9829999804496764,128.53,0.1889,0.254,0.1002,68.2,26.019745,342.5895299788177,0.5033968603770382
Selhausen,2022-08-07,ICOS,23.13,2.18,583.1,40.6,32.75,28.649999618530277,33.08,28.61,0.9900000095367432,215.09,0.3161,0.429,0.1242,84.5,25.508759,416.7582107940024,0.6123794117789424
Selhausen,2022-08-16,ICOS,27.23,1.33,510.7,45.18,37.0,28.3700008392334,29.32,28.37,1.0,417.59,0.6136,0.883,0.3891,264.8,29.448822,374.9812972743091,0.550992926607148
Selhausen,2022-09-01,ICOS,23.23,2.97,528.9,37.24,30.62,26.93000030517578,29.93,26.77,0.9490000009536744,239.41,0.3518,0.515,0.1654,112.6,24.85553,390.372000898276,0.5736078380546097
Selhausen,2023-02-07,ICOS,1.09,4.26,245.0,7.94,4.25,1.309999942779541,1.51,1.29,0.9039999842643738,239.54,0.352,0.901,0.2461,167.5,2.0986023,160.91883193151105,0.2364521612054856
Selhausen,2023-02-08,ICOS,1.74,3.44,249.3,9.27,5.46,1.3700000047683716,1.37,1.37,0.9110000133514404,268.88,0.3951,1.0,0.2914,198.3,2.447052,190.08391461579598,0.27930697657831244
Selhausen,2023-04-04,ICOS,5.96,3.29,523.5,21.33,13.4,10.449999809265137,14.66,10.17,0.9380000233650208,229.42,0.3371,0.43,0.21,142.9,9.223877,286.9455436287079,0.42163426818912186
Selhausen,2023-04-05,ICOS,7.99,1.38,511.3,27.42,18.06,13.239999771118164,17.66,13.0,0.9480000138282776,256.5,0.3769,0.499,0.2814,191.5,11.590332,314.8207985405693,0.462593826426959
Selhausen,2023-04-28,ICOS,14.86,1.62,196.1,21.29,18.87,11.359999656677246,11.36,11.36,0.4720000028610229,208.77,0.3068,1.0,0.2444,166.3,15.461273,140.79303972698526,0.20687956857842732
Selhausen,2023-05-14,ICOS,17.63,2.38,595.2,35.7,27.31,19.440000534057617,20.94,19.4,0.9729999899864196,490.82,0.7212,0.811,0.4606,313.5,20.029144,424.8492993036739,0.6242683581605004
Selhausen,2023-05-30,ICOS,16.36,2.55,630.5,34.68,25.87,15.220000267028809,15.22,15.22,0.9559999704360962,626.09,0.92,1.0,0.6361,432.9,19.623932,395.8737198700989,0.5816919965438189
Selhausen,2023-05-31,ICOS,21.97,2.22,638.4,40.82,32.03,25.07999992370605,27.61,24.98,0.962000012397766,415.45,0.6105,0.694,0.3411,232.1,24.595367,447.85311951827,0.6580698899043967
Selhausen,2023-06-15,ICOS,23.95,2.29,651.7,42.22,33.98,28.690000534057617,32.21,28.48,0.9449999928474426,317.07,0.4659,0.541,0.2242,152.6,26.758423,445.38330857068934,0.6544407799406048
Selhausen,2023-06-16,ICOS,24.41,1.47,643.9,45.48,35.52,28.850000381469727,32.5,28.68,0.9539999961853028,355.47,0.5223,0.61,0.2726,185.5,27.621155,435.4852371989578,0.6398966750678563
Selhausen,2023-06-23,ICOS,22.43,2.71,658.4,40.18,31.83,25.68000030517578,28.02,25.39,0.8899999856948853,403.25,0.5925,0.665,0.3843,261.5,25.209686,441.1086940258174,0.6481597136705888
Selhausen,2023-07-09,ICOS,35.3,2.62,617.2,51.77,44.45,31.530000686645508,31.53,31.53,0.3330000042915344,578.5,0.85,1.0,0.5846,397.9,38.901276,354.7665116534032,0.5212895681437761
Selhausen,2023-09-11,ICOS,29.38,2.16,457.1,44.55,37.33,39.310001373291016,39.79,34.84,0.0979999974370002,96.99,0.1425,0.272,0.3304,224.8,34.954346,199.72368284652603,0.2934715339785689
Selhausen,2023-10-06,ICOS,18.66,1.83,361.2,32.2,25.6,21.3700008392334,22.05,20.39,0.4120000004768371,218.78,0.3215,0.615,0.3212,218.6,20.447418,239.4736278165098,0.351879616383443
Selhausen,2023-10-13,ICOS,24.48,4.88,336.3,32.14,27.58,20.559999465942383,20.56,20.56,0.6819999814033508,326.39,0.4796,1.0,0.4834,329.0,24.091583,287.4019781237841,0.42230494744719294
Lonzee,2022-02-11,ICOS,4.66,4.07,208.1,9.85,7.16,6.119999885559082,6.37,5.48,0.2809999883174896,110.59,0.1625,0.611,0.1685,114.7,5.907593,113.57679802849125,0.16688835628676266
Lonzee,2022-02-12,ICOS,2.68,4.31,235.9,9.06,5.2,1.9800000190734863,1.98,1.98,0.3140000104904175,225.38,0.3312,0.971,0.3094,210.6,1.8388367,181.22073965579273,0.26628353582075664
Lonzee,2022-03-08,ICOS,5.59,4.07,312.4,13.93,9.73,6.25,6.45,6.02,0.4620000123977661,264.87,0.3892,0.792,0.3159,215.0,6.8118286,204.08258672102073,0.29987645395741824
Lonzee,2022-03-23,ICOS,14.87,1.96,346.3,27.48,22.25,18.950000762939453,20.19,17.99,0.5640000104904175,176.95,0.26,0.573,0.2138,145.5,18.71759,170.6985699211774,0.2508223884556076
Lonzee,2022-03-24,ICOS,15.77,2.03,347.7,27.96,23.02,18.950000762939453,19.92,18.24,0.5789999961853027,202.39,0.2974,0.657,0.2375,161.6,18.919373,189.72234344606116,0.2787756883289062
Lonzee,2022-04-09,ICOS,7.67,4.13,434.3,18.18,12.26,12.84000015258789,16.8,11.66,0.7710000276565552,48.5,0.0713,0.127,0.1391,94.7,11.374268,144.28917325579624,0.21201674437586387
Lonzee,2022-04-17,ICOS,14.51,2.79,514.4,29.24,22.29,18.790000915527344,21.82,18.37,0.8799999952316284,244.7,0.3596,0.494,0.1855,126.2,17.96228,281.7323585324241,0.41397407784356194
Lonzee,2022-04-24,ICOS,14.45,4.3,508.8,26.59,20.11,18.26000022888184,22.03,17.99,0.9340000152587892,182.2,0.2677,0.371,0.0783,53.3,17.483643,237.43564155904042,0.34888502433165125
Lonzee,2022-05-03,ICOS,14.39,2.98,547.5,29.78,22.09,19.530000686645508,24.47,19.44,0.9810000061988832,177.05,0.2602,0.343,0.0802,54.6,17.449402,315.4108691788452,0.4634608689974868
Lonzee,2022-05-18,ICOS,22.59,1.01,613.2,43.07,31.45,27.920000076293945,34.91,27.92,1.0,225.05,0.3307,0.398,0.1011,68.8,24.538391,454.43439129345376,0.6677403300638505
Lonzee,2022-06-11,ICOS,19.02,1.62,620.5,40.25,29.82,24.51000022888184,29.76,24.49,0.9950000047683716,277.19,0.4073,0.493,0.2878,195.8,22.276459,411.9368291799797,0.6052949326726232
Lonzee,2022-07-13,ICOS,28.67,2.8,618.1,44.75,36.73,36.75,38.5,33.6,0.3569999933242798,175.3,0.2576,0.372,0.1522,103.6,32.43918,344.4532163402342,0.5061353382958543
Lonzee,2022-07-29,ICOS,23.38,2.2,451.3,39.11,31.63,40.04999923706055,40.82,33.34,0.1030000001192092,0.0,0.0,0.0,0.0443,30.2,33.56595,102.57779137192664,0.1507265505873208
Lonzee,2022-08-06,ICOS,18.57,3.2,420.0,30.84,24.37,32.369998931884766,33.07,26.6,0.1070000007748603,0.0,0.0,0.0,0.0372,25.3,27.154388,77.46147636921691,0.11382094486905342
Lonzee,2022-08-14,ICOS,29.53,3.1,369.9,41.05,35.1,33.029998779296875,33.19,31.3,0.0839999988675117,180.22,0.2648,0.683,0.2743,186.7,37.357635,75.7903129388348,0.11136535778767562
Lonzee,2022-10-01,ICOS,16.16,6.76,357.5,22.32,18.67,18.75,18.79,17.23,0.0299999993294477,143.04,0.2102,0.504,0.199,135.4,16.856567,219.20962136927733,0.32210393344057076
Lonzee,2022-11-02,ICOS,12.41,4.8,208.1,17.51,14.52,12.989999771118164,13.22,12.74,0.4900000095367431,151.35,0.2224,0.733,0.1721,117.1,13.721954,108.36683670419569,0.15923290291228753
Lonzee,2022-11-10,ICOS,12.19,4.51,190.7,17.54,14.23,11.84000015258789,11.84,11.84,0.6800000071525574,190.53,0.28,1.0,0.2439,166.0,12.63501,139.47326558933293,0.20494030862106064
Lonzee,2022-12-12,ICOS,-2.34,2.43,205.3,5.1,0.8,-0.7900000214576721,-0.79,-1.68,0.0040000001899898,124.96,0.1836,0.791,0.2048,139.4,-1.3573914,122.20305522190019,0.17956367297911865
Lonzee,2023-02-07,ICOS,0.73,2.05,276.9,10.92,5.37,3.109999895095825,3.14,1.83,0.0189999993890523,146.95,0.2159,0.527,0.2171,147.8,2.3692017,160.0129444909342,0.23512106129280125
Lonzee,2023-02-14,ICOS,7.59,2.65,253.8,15.99,11.28,9.449999809265137,9.49,8.42,0.0340000018477439,138.95,0.2042,0.624,0.224,152.5,8.787018,150.55162894854357,0.22121872008765586
Lonzee,2023-04-03,ICOS,7.02,5.43,527.8,18.33,11.52,11.479999542236328,11.49,8.8,0.0040000001899898,219.4,0.3224,0.503,0.2373,161.5,10.699463,244.01587986328312,0.35855394592155887
Lonzee,2023-04-04,ICOS,5.73,4.88,527.3,17.66,10.67,10.649999618530272,10.65,7.77,0.0010000000474974,211.75,0.3111,0.483,0.1965,133.7,9.726776,240.21344042102328,0.3529666879655852
Lonzee,2023-06-06,ICOS,18.82,2.71,521.3,35.29,27.1,34.939998626708984,36.58,28.4,0.2010000050067901,0.0,0.0,0.0,0.1849,125.9,33.900604,0.0,0.0
Lonzee,2023-06-07,ICOS,21.35,3.44,528.8,35.71,28.41,37.34999847412109,39.07,31.77,0.2360000014305114,0.0,0.0,0.0,0.0915,62.3,34.379578,0.0,0.0
Lonzee,2023-06-14,ICOS,23.7,4.1,585.7,37.03,30.16,29.559999465942383,31.95,27.7,0.5630000233650208,178.2,0.2618,0.359,0.126,85.8,29.403748,190.51197351800235,0.27993596108767693
Lonzee,2023-07-08,ICOS,28.66,1.39,569.1,48.21,38.97,30.299999237060547,31.55,30.19,0.9179999828338624,443.37,0.6515,0.845,0.4112,279.8,30.237946,451.56006273131453,0.6635168268705031
Lonzee,2023-09-10,ICOS,29.0,2.31,380.6,42.16,35.67,35.310001373291016,35.43,32.26,0.0390000008046627,132.15,0.1942,0.444,0.2587,176.0,31.246155,218.58905553490573,0.32119208160231044
Voulundgaard,2022-02-28,ICOS,5.52,3.86,250.7,12.6,8.76,5.510000228881836,5.51,5.51,0.1959999948740005,209.82,0.3083,0.731,0.3223,219.4,5.2706604,184.75085765945164,0.2714706479893983
Voulundgaard,2022-03-08,ICOS,4.57,2.52,265.6,14.69,9.78,10.359999656677246,10.63,7.69,0.0939999967813491,95.9,0.1409,0.308,0.2097,142.7,8.842285,105.14870753419073,0.15450422331554556
Voulundgaard,2022-03-24,ICOS,13.57,2.04,348.4,26.21,20.29,23.61000061035156,24.54,19.4,0.181999996304512,32.63,0.048,0.101,0.2192,149.2,17.045837,178.6639534085844,0.26252662541669547
Voulundgaard,2022-04-17,ICOS,14.36,2.27,454.3,30.37,22.65,28.68000030517578,30.79,23.07,0.2730000019073486,0.0,0.0,0.0,0.2023,137.7,24.635468,89.76141119555267,0.13189431849142433
Voulundgaard,2022-04-18,ICOS,14.82,3.33,460.0,28.42,21.34,28.57999992370605,30.19,23.11,0.2280000001192093,0.0,0.0,0.0,0.1479,100.6,24.470276,66.81441828550948,0.09817628809299352
Voulundgaard,2022-05-12,ICOS,14.33,6.0,596.2,25.82,19.26,26.520000457763672,27.6,21.05,0.1650000065565109,0.0,0.0,0.0,0.1764,120.1,22.490265,93.81512427931712,0.13785079485940474
Voulundgaard,2022-05-20,ICOS,16.64,3.29,513.0,30.76,23.55,31.5,32.65,25.44,0.1589999943971634,0.0,0.0,0.0,0.3789,257.9,29.36319,7.200135262598151,0.01057979058994014
Voulundgaard,2022-06-04,ICOS,15.42,1.62,369.3,30.33,22.8,35.470001220703125,37.85,30.32,0.3160000145435333,0.0,0.0,0.0,0.0832,56.6,25.118774,64.1569896450413,0.09427149498863212
Voulundgaard,2022-06-05,ICOS,18.87,2.22,555.2,38.91,28.8,34.060001373291016,36.56,27.64,0.2809999883174896,48.05,0.0706,0.114,0.377,256.5,32.997772,75.2968051587144,0.11064020349851912
Voulundgaard,2022-06-20,ICOS,15.16,1.85,568.1,34.8,24.62,22.030000686645508,26.83,20.78,0.7940000295639038,188.01,0.2763,0.381,0.4015,273.2,19.902802,297.5139146668851,0.4371633031839945
Voulundgaard,2022-08-31,ICOS,19.66,3.02,394.2,31.96,25.5,24.11000061035156,25.23,22.31,0.382999986410141,217.75,0.32,0.444,0.2735,186.1,27.11557,74.78903807517632,0.1098940967635244
Voulundgaard,2022-09-17,ICOS,16.12,4.15,257.8,22.88,18.9,17.950000762939453,18.58,17.13,0.4359999895095825,160.09,0.2352,0.528,0.1136,77.3,18.421722,111.84109433226467,0.16433793452904197
Voulundgaard,2022-10-02,ICOS,14.98,4.84,207.7,19.8,16.99,18.31999969482422,19.7,16.94,0.5019999742507935,3.46,0.0051,0.02,0.1156,78.7,15.86322,123.20760804691585,0.18103975059954983
Voulundgaard,2022-10-03,ICOS,15.56,5.95,300.6,22.22,18.09,18.270000457763672,19.62,17.1,0.5350000262260437,99.84,0.1467,0.352,0.2519,171.4,16.805664,175.44342786125287,0.25779442461245317
Voulundgaard,2022-10-10,ICOS,13.22,4.47,210.3,18.83,15.45,13.199999809265137,13.2,13.2,0.5830000042915344,201.0,0.2954,0.899,0.2778,189.0,14.049805,133.9234478479886,0.19678547438888122
Voulundgaard,2022-10-11,ICOS,13.01,4.93,289.0,20.03,15.82,15.390000343322754,17.03,14.62,0.6790000200271606,107.79,0.1584,0.393,0.3216,218.8,14.075348,183.55755608003554,0.2697172252604604
Voulundgaard,2022-10-19,ICOS,11.08,2.67,212.0,19.51,14.76,13.920000076293944,16.03,13.24,0.7549999952316284,81.02,0.119,0.377,0.2324,158.1,12.928162,114.9180225406762,0.16885913516180995
Voulundgaard,2023-03-03,ICOS,4.29,1.74,182.4,9.97,9.02,8.8100004196167,8.92,8.14,0.1480000019073486,27.28,0.0401,0.16,0.1173,79.8,7.557617,54.1750682162822,0.07960418186882283
Voulundgaard,2023-04-20,ICOS,14.86,6.06,427.6,24.41,18.82,26.780000686645508,27.78,22.19,0.1780000030994415,0.0,0.0,0.0,0.1116,75.9,22.745422,24.502975264829555,0.036004371817708734
Voulundgaard,2023-04-21,ICOS,16.41,5.19,434.8,27.13,21.04,29.899999618530277,30.96,24.87,0.1739999949932098,0.0,0.0,0.0,0.1242,84.5,25.714813,11.699100479271683,0.01719051498995023
Voulundgaard,2023-05-30,ICOS,18.73,2.68,508.8,36.06,27.13,26.86000061035156,34.62,26.43,0.9470000267028807,38.1,0.056,0.082,0.1132,77.0,27.49231,5.944284703515253,0.008734459156185677
Voulundgaard,2023-05-31,ICOS,15.56,5.55,551.3,28.19,20.71,20.059999465942383,26.38,19.97,0.9860000014305116,72.36,0.1063,0.144,0.1636,111.3,23.033264,0.0,0.0
Voulundgaard,2023-06-07,ICOS,18.29,1.01,539.4,39.35,26.99,25.1200008392334,34.69,25.07,0.9950000047683716,105.14,0.1545,0.221,0.1862,126.8,25.3479,99.49449069086678,0.14619598632127365
Voulundgaard,2023-06-08,ICOS,19.7,2.77,539.0,37.35,28.06,26.450000762939453,33.59,26.28,0.9769999980926514,101.07,0.1485,0.212,0.1505,102.4,27.290802,58.274015992304705,0.08562712553971304
Voulundgaard,2023-07-09,ICOS,24.99,3.41,567.9,40.75,32.17,26.40999984741211,27.4,26.09,0.7519999742507935,432.3,0.6352,0.788,0.4485,305.2,28.238892,323.6875081390667,0.47562246093903676
Voulundgaard,2023-09-04,ICOS,22.58,3.9,425.5,33.76,27.6,29.670000076293945,29.95,25.89,0.0689999982714653,99.92,0.1468,0.25,0.3017,205.3,27.197662,170.76518417121736,0.25092027061893163
