Site,Date,NDVI,SAVI,ET_PT_ICOS (mm/h),ET_PT_ERA5 (mm/h),ET_TTME_ICOS (mm/h)
Selhausen,2022-06-28,0.8112562175133528,0.6420159154952866,0.720595749773247,0.5702069145810146,0.4266
Selhausen,2022-07-23,0.8545625028778575,0.6977178947944033,0.8582160471177815,0.6435987395577625,0.3938
Selhausen,2022-07-30,0.8520939239893489,0.6854980803828108,0.80671103149922,0.5934226896816058,0.1889
Selhausen,2022-08-07,0.870171249935588,0.7021941618384941,0.79055779689826,0.5872728753284407,0.3161
Selhausen,2022-08-16,0.7887951928660906,0.6037033771920159,0.6103441348971227,0.4404455716456408,0.6136
Selhausen,2022-09-01,0.8178514860709959,0.6350745188829402,0.6127697453165963,0.4512380927458975,0.3518
Selhausen,2023-02-07,0.7945177290370192,0.4926377200984375,0.16882759350458593,0.05927646409623741,0.352
Selhausen,2023-02-08,0.7876527893304761,0.4902767783491585,0.13890807006619796,0.04852892577677547,0.3951
Selhausen,2023-04-04,0.8632835478270849,0.5318534581818395,0.20717866683059966,0.17131979765584684,0.3371
Selhausen,2023-04-05,0.860951602420214,0.5518693288054449,0.2358107605571994,0.2176323980490269,0.3769
Selhausen,2023-04-28,0.40627547330111025,0.28369971298924107,0.22747631912391292,0.130795415882063,0.3068
Selhausen,2023-05-14,0.890050021093232,0.6053862760637279,0.6330659809241135,0.444747356369091,0.7212
Selhausen,2023-05-30,0.8211731791086845,0.6026400600640478,0.6527162765378258,0.5025163396515506,0.92
Selhausen,2023-05-31,0.8846745687218238,0.6691096089061419,0.810369453836005,0.5887438560850452,0.6105
Selhausen,2023-06-15,0.8417093675511341,0.6469539205671615,0.7967610270579838,0.4860603241741434,0.4659
Selhausen,2023-06-16,0.8417093675511341,0.6469539205671615,0.7879344198875063,0.512006699311892,0.5223
Selhausen,2023-06-23,0.8012002349396052,0.5945161005065753,0.7483625276928415,0.43705362095010436,0.5925
Selhausen,2023-07-09,0.3716846603811786,0.26619925852190346,0.16643824312842287,0.20973946667925977,0.85
Selhausen,2023-09-11,0.2011868113499282,0.1261111014092869,0.19631853141323086,0.2870097232756849,0.1425
Selhausen,2023-10-06,0.4313027033328583,0.28185789019249324,0.27157443605180903,0.17305906105215607,0.3215
Selhausen,2023-10-13,0.5985079155810863,0.4387153514580383,0.2831451168104318,0.18686945576647152,0.4796
Selhausen,2023-12-17,0.7591320870751301,0.6366996865535437,0.15704670746760915,0.03441452671016582,
Lonzee,2022-02-11,0.3579211442692926,0.2149474567886428,0.11964037882837203,0.10914963721769604,0.1625
Lonzee,2022-02-12,0.3876742467910986,0.22163516135320707,0.13888696945864176,0.08055550117520341,0.3312
Lonzee,2022-03-08,0.45105820105820105,0.28794058177473464,0.08489967242787112,0.1045801736781463,0.3892
Lonzee,2022-03-23,0.5173562550088786,0.3789954746732633,0.15407146798927357,0.16919073494124212,0.26
Lonzee,2022-03-24,0.5369841602263846,0.39843673014581593,0.14846901505419358,0.1311982719657031,0.2974
Lonzee,2022-04-09,0.7431331489740353,0.53963350933896,0.2422515830776386,0.3064059037532039,0.0713
