Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Selhausen,2023-06-16,0.6678217526894851,0.33929620577153585,0.3677813623942315
Selhausen,2023-06-23,0.6927157975989983,0.3877524099669867,0.2669913746710656
Selhausen,2023-07-09,0.5651222774400793,0.6386574586014708,0.2606910916638721
Selhausen,2023-09-11,0.3348286417193347,0.035360639424642494,0.1514457116611391
Selhausen,2023-10-06,0.3614431264662346,0.1547839285938101,0.09857704470314059
Selhausen,2023-10-13,0.4223049474471929,0.15735124152464605,0.06837802894774635
Lonzee,2022-02-11,0.1725703120923616,0.0,0.06934371861741197
Lonzee,2022-02-12,0.2662835358207566,0.0,0.23204344552976103
Lonzee,2022-03-08,0.3077082177022274,0.039287811906298355,0.17712725570506205
Lonzee,2022-03-23,0.2746978125532204,0.026566949691461172,0.15547188458124384
Lonzee,2022-03-24,0.3001630052659745,0.009708863846557244,0.19414500156506417
Lonzee,2022-04-09,0.2451515147510045,0.0,0.23367541078973086
Lonzee,2022-04-17,0.4598965865416938,0.0010515468654611678,0.27857441495057317
Lonzee,2022-04-24,0.3729402960692193,0.0,0.2835868935990779
Lonzee,2022-05-03,0.5025552925612942,0.0,0.24330625508472956
Lonzee,2022-05-18,0.7154735066862439,0.018756001187313506,0.22871955968815813
Lonzee,2022-06-11,0.6335060976141421,0.05689454568497472,0.25791808680594774
Lonzee,2022-07-13,0.5522911979697714,0.06224987700348643,0.30398071480911243
Lonzee,2022-07-29,0.2275459432492525,0.0,0.1381415044548183
Lonzee,2022-08-06,0.1782687007543287,0.0,0.17492347814419704
Lonzee,2022-08-14,0.1633424442387105,0.015898059123739615,0.1124489622469842
Lonzee,2022-10-01,0.3242757234470585,0.0,0.1549347648419368
Lonzee,2022-11-02,0.1646678054697291,0.0,0.013018804338046865
Lonzee,2022-11-10,0.2068975778565654,0.0,0.04923066812646817
Lonzee,2022-12-12,0.185225241142722,0.028220524342702263,0.0664224450556654
Lonzee,2023-02-07,0.2431208034192,0.013725128745886966,0.11002891643174857
Lonzee,2023-02-14,0.2288784659212248,0.0,0.13264434166667424
Lonzee,2023-04-03,0.3787304232218889,0.15475435112994199,0.28049002003597007
Lonzee,2023-04-04,0.3773008687328379,0.14185935670553523,0.3194572156889048
Lonzee,2023-06-06,0.1372401855387225,0.0,0.10663476581109724
Lonzee,2023-06-07,0.0965956900739126,0.0,0.08723630987654703
Lonzee,2023-06-14,0.3349300686163066,0.26124022202832975,0.32054780750170486
Lonzee,2023-07-08,0.6728879127483925,0.33873819968027735,0.44085622318573514
Lonzee,2023-09-10,0.3367429345787338,0.05684193223018108,0.2526806926289149
Voulundgaard,2022-02-28,0.2714706479893983,0.0940693233057558,0.1473880378286195
Voulundgaard,2022-03-08,0.1829118655215487,0.0,0.10021618797168066
Voulundgaard,2022-03-24,0.2834927406441366,0.0,0.13116562663181452
Voulundgaard,2022-04-17,0.2250529906745247,0.0,0.09512055232215709
Voulundgaard,2022-04-18,0.1777879872303031,0.0,0.12177734329039543
Voulundgaard,2022-05-12,0.1853788055651778,0.0,0.0
Voulundgaard,2022-05-20,0.1209432260511864,0.0,0.005971798722553181
Voulundgaard,2022-06-04,0.1358598273698262,0.0,0.2607725259763692
Voulundgaard,2022-06-05,0.2483397912589289,0.03599111220287935,0.12150466456676969
Voulundgaard,2022-06-20,0.4858868030151992,0.04834140923110926,0.18362890883875238
Voulundgaard,2022-08-31,0.1753111158021131,0.08890064046884213,0.09419453622993407
Voulundgaard,2022-09-17,0.1772064882194155,0.24042385299067887,0.001986706697538525
Voulundgaard,2022-10-02,0.1845358363732854,0.020093880469481802,0.10635918569554347
Voulundgaard,2022-10-03,0.2631086556952797,0.04395192244461418,0.10717501427182567
