Site,Date,ET_pure_ICOS,ET_Ta_ERA5,ET_LST_Landsat,ET_u_ERA5,ET_Rn_ERA5
Estrees-Mons,2022-03-23,0.2355005104405677,0.0641485756272601,0.0,0.022701120049107886,0.09897331822948112
Estrees-Mons,2022-04-15,0.4620838336228597,0.16620329518832258,0.2505232629629833,0.10543637020294755,0.3284685603348775
Estrees-Mons,2022-04-24,0.3924016799239563,0.0960584517005482,0.0,0.141706297408383,0.02298224874719883
Estrees-Mons,2022-05-09,0.2598170561679421,0.09668909132525491,0.0,0.004622243142377014,0.06875876557177961
Estrees-Mons,2022-05-17,0.4554778425425094,0.28736119941692284,0.0,0.19961167864609286,0.2514805192906604
Estrees-Mons,2022-05-18,0.4479100324041699,0.3497133388947513,0.02407036110267462,0.24384744298039504,0.2442352956897733
Estrees-Mons,2022-06-02,0.4621391504120901,0.15069489918833412,0.0,0.12132384947647656,0.17768700282704863
Estrees-Mons,2022-06-11,0.3886287846584357,0.0514502716958197,0.0,0.10006243339239633,0.04040069701482308
Estrees-Mons,2022-06-18,0.4084725926972041,0.169104564010392,0.11618768345725361,0.1209589474933068,0.13959968001577872
Estrees-Mons,2022-07-04,0.5703782861904511,0.2760906493480317,0.005872092449312809,0.24209867988785372,0.26875409243645676
Estrees-Mons,2022-07-05,0.5290984015784177,0.3122378681004373,0.0,0.12374129173509715,0.2571144421425614
Estrees-Mons,2022-07-12,0.3428927588929871,0.16847894814295195,0.26986902915558275,0.13012780469721877,0.1899198167288279
Estrees-Mons,2022-07-13,0.3679700665054174,0.18191939006359417,0.07033875124904766,0.213965810321476,0.23125914159612979
Estrees-Mons,2022-07-29,0.2322090483127014,0.039894054468458146,0.0,0.05883485097461739,0.07807566880876332
Estrees-Mons,2022-08-05,0.3494891449098796,0.20917424678775057,0.06007079933370814,0.20479588451974207,0.10536086158730613
Estrees-Mons,2022-08-06,0.1512071680872073,0.0,0.0,0.0560569931315965,0.0
Estrees-Mons,2022-08-29,0.1136408459129356,0.0,0.0,0.0,0.0
Estrees-Mons,2022-08-30,0.1836968502788541,0.022712077706072212,0.0,0.0,0.00748401292017088
Estrees-Mons,2022-09-30,0.3482624816808822,0.21028310093538072,0.023460606067761677,0.12037772652778062,0.17479503327089346
Estrees-Mons,2022-10-08,0.3486615278956931,0.20237346972153714,0.04875848783947983,0.15954469263561974,0.17755256102613176
Estrees-Mons,2022-10-24,0.247939786491394,0.24632245626870386,0.0,0.24632245626870386,0.22986280116825394
